ID,project_name,module_name,url,sha
1,Achilles,integration-test-2_1,https://github.com/doanduyhai/Achilles.git,e3099bdce342910951c4862c78751fd81ed4552e
2,Achilles,integration-test-2_2,https://github.com/doanduyhai/Achilles.git,e3099bdce342910951c4862c78751fd81ed4552e
3,Achilles,integration-test-3_10,https://github.com/doanduyhai/Achilles.git,e3099bdce342910951c4862c78751fd81ed4552e
4,Achilles,integration-test-3_7,https://github.com/doanduyhai/Achilles.git,e3099bdce342910951c4862c78751fd81ed4552e
5,Activiti,activiti-spring-boot-starter,https://github.com/Activiti/Activiti.git,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4
6,admiral,compute,https://github.com/vmware/admiral.git,e4b02936cc7d4ff2714e7231db0c4373ba5d48a2
7,admiral,request,https://github.com/vmware/admiral.git,e4b02936cc7d4ff2714e7231db0c4373ba5d48a2
8,aismessages,.,https://github.com/tbsalling/aismessages.git,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931
9,c2mon,c2mon-server/c2mon-server-elasticsearch,https://github.com/c2mon/c2mon.git,d80687b119c713dd177a58cf53a997d8cc5ca264
10,cukes,cukes-http,https://github.com/ctco/cukes.git,b483e1a8f261b80a66291a42fc455256b0b5059c
11,dropwizard,dropwizard-logging,https://github.com/dropwizard/dropwizard.git,07dfaed697427e208d65049f80a5d1949833b7cd
12,dubbo,dubbo-cluster,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
13,dubbo,dubbo-common,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
14,dubbo,dubbo-config/dubbo-config-api,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
15,dubbo,dubbo-rpc/dubbo-rpc-api,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
16,dubbo,dubbo-rpc/dubbo-rpc-dubbo,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
17,dubbo,dubbo-serialization/dubbo-serialization-fst,https://github.com/apache/dubbo.git,737f7a7ea67832d7f17517326fb2491d0a086dd7
18,hadoop,hadoop-common-project/hadoop-auth,https://github.com/apache/hadoop.git,cc2babc1f75c93bf89a8f10da525f944c15d02ea
19,hadoop,hadoop-hdfs-project/hadoop-hdfs-nfs,https://github.com/apache/hadoop.git,cc2babc1f75c93bf89a8f10da525f944c15d02ea
20,hadoop,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,https://github.com/apache/hadoop.git,cc2babc1f75c93bf89a8f10da525f944c15d02ea
21,hadoop,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,https://github.com/apache/hadoop.git,cc2babc1f75c93bf89a8f10da525f944c15d02ea
22,hadoop,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,https://github.com/apache/hadoop.git,cc2babc1f75c93bf89a8f10da525f944c15d02ea
23,hsac-fitnesse-fixtures,.,https://github.com/fhoeben/hsac-fitnesse-fixtures.git,a64c18d9c4bac8271275c7b089d40be20f0604b5
24,http-request,lib,https://github.com/kevinsawicki/http-request.git,2d62a3e9da726942a93cf16b6e91c0187e6c0136
25,jhipster-registry,.,https://github.com/jhipster/jhipster-registry.git,00db36611da5fc7aaf9d5372aa90f2465d80c0c4
26,marine-api,.,https://github.com/ktuukkan/marine-api.git,af0003847db9ba822f67d4f1dceb8de3fe63250a
27,openpojo,.,https://github.com/openpojo/openpojo.git,9badbcc4593e797accfed5e51bec9f2b843f0f67
28,riptide,riptide-spring-boot-starter,https://github.com/zalando/riptide.git,8277e11fc069d8e24df0d233ef2577cc75659b75
29,shardingsphere-elasticjob,elastic-job-lite-core,https://github.com/apache/shardingsphere-elasticjob.git,b022898ef1b8c984e17efb2a422ee45f6b13e46e
30,spring-boot,spring-boot-project/spring-boot,https://github.com/spring-projects/spring-boot.git,daa3d457b71896a758995c264977bdd1414ee4d4
31,spring-boot,spring-boot-project/spring-boot-actuator-autoconfigure,https://github.com/spring-projects/spring-boot.git,daa3d457b71896a758995c264977bdd1414ee4d4
32,spring-boot,spring-boot-project/spring-boot-test-autoconfigure,https://github.com/spring-projects/spring-boot.git,daa3d457b71896a758995c264977bdd1414ee4d4
33,spring-data-ebean,.,https://github.com/hexagonframework/spring-data-ebean.git,dd11b97654982403b50dd1d5369cadad71fce410
34,spring-data-envers,.,https://github.com/spring-projects/spring-data-envers.git,5637994be37747e82b2d6d5b34555e2bee791fe6
35,spring-ws,spring-ws-security,https://github.com/spring-projects/spring-ws.git,e8d89c9eb0929dda304174729c9c69fb29f448eb
36,Struts,plugins/portlet,https://github.com/Apache/Struts.git,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa
37,unix4j,unix4j-core/unix4j-command,https://github.com/tools4j/unix4j.git,367da7d262e682a08577cdf19ebbbdd8a46870fe
38,Wikidata-Toolkit,wdtk-dumpfiles,https://github.com/Wikidata/Wikidata-Toolkit.git,20de6f7f12319f54eb962ff6e8357b3f5695d54d
39,Wikidata-Toolkit,wdtk-util,https://github.com/Wikidata/Wikidata-Toolkit.git,20de6f7f12319f54eb962ff6e8357b3f5695d54d
40,wildfly,naming,https://github.com/wildfly/wildfly.git,b19048b72669fc0e96665b1b125dc1fda21f5993
41,wildfly,security/subsystem,https://github.com/wildfly/wildfly.git,b19048b72669fc0e96665b1b125dc1fda21f5993
42,spring-boot,spring_boot_project/spring-boot-test,https://github.com/spring-projects/spring-boot.git,daa3d457b71896a758995c264977bdd1414ee4d4
